league,opp,opp2,result,conf,ROI,date,outcome
bundesliga,Hoffenheim,M'gladbach,1,Med conf,+54,28.10.17,lose
bundesliga,Leverkusen,FC Koln,1X,Med conf,-33,28.10.17,win
bundesliga,Schalke 04,Wolfsburg,1X,High conf,+46,28.10.17,win
bundesliga,Hannover,Dortmund,X,Med conf,+289,28.10.17,lose
bundesliga,Hertha,Hamburg,2,Low conf,+199,28.10.17,lose
bundesliga,Bayern Munich,RB Leipzig,12,Low conf,-69,28.10.17,win
serie-a,Milan,Juventus,2,Med conf,+41,28.10.17,win
serie-a,Roma,Bologna,<2.5,Low conf,-60,28.10.17,win
premier-league,Man United,Tottenham,BTTS,Med conf,+46,28.10.17,lose
premier-league,Arsenal,Swansea,X2,Low conf,+274,28.10.17,lose
premier-league,Crystal Palace,West Ham,X2,Low conf,+15,28.10.17,win
premier-league,Liverpool,Huddersfield,1,High conf,+2,28.10.17,win
premier-league,Watford,Stoke,1,Med conf,+38,28.10.17,lose
premier-league,West Brom,Man City,X2,Low conf,-101,28.10.17,win
premier-league,Bournemouth,Chelsea,X2,Low conf,-78,28.10.17,win
primeira-liga,Rio Ave,Sp Lisbon,X2,High conf,+34,27.10.17,win
ligue-1,Paris SG,Nice,12,Low conf,-182,27.10.17,win
bundesliga,Mainz,Ein Frankfurt,1,Med conf,+55,27.10.17,lose
serie-a,Atalanta,Verona,1X,High conf,+25,25.10.17,win
serie-a,Bologna,Lazio,X2,Med conf,+3,25.10.17,win
serie-a,Cagliari,Benevento,1,Med conf,+35,25.10.17,win
serie-a,Chievo,Milan,2,Low conf,+54,25.10.17,win
serie-a,Fiorentina,Torino,1X,Med conf,+11,25.10.17,win
serie-a,Genoa,Napoli,2,Low conf,-35,25.10.17,win
serie-a,Juventus,Spal,1X,Med conf,-26,25.10.17,win
serie-a,Roma,Crotone,1,Med conf,-15,25.10.17,win
serie-a,Sassuolo,Udinese,2,Low conf,+224,25.10.17,win
serie-a,Atalanta,Verona,1X,High conf,+25,25.10.17,win
serie-a,Bologna,Lazio,X2,Med conf,+3,25.10.17,win
serie-a,Cagliari,Benevento,1,Med conf,+35,25.10.17,win
serie-a,Chievo,Milan,2,Low conf,+54,25.10.17,win
serie-a,Fiorentina,Torino,1X,Med conf,+11,25.10.17,win
serie-a,Genoa,Napoli,2,Low conf,-35,25.10.17,win
serie-a,Juventus,Spal,1X,Med conf,-26,25.10.17,win
serie-a,Roma,Crotone,1,Med conf,-15,25.10.17,win
serie-a,Sassuolo,Udinese,2,Low conf,+224,25.10.17,win
primera-division,Sociedad,Espanol,X2,Med conf,+91,23.10.17,win
primera-division,La Coruna,Girona,12,High conf,+60,23.10.17,win
primeira-liga,Moreirense,Sp Braga,X2,High conf,+54,23.10.17,win
